GPSS Week    Seconds of Week          X(m)              Y(m)              Z(m)           Clock(m)
2394     208346.000   -2267150.084    5009718.546    3221071.101        132.936
2394     208347.000   -2267150.443    5009719.782    3221074.389         58.333
2394     208348.000   -2267154.237    5009723.118    3221077.767         73.285
2394     208349.000   -2267154.083    5009723.006    3221078.992         76.877
2394     208350.000   -2267153.703    5009723.404    3221080.913         84.008
2394     208351.000   -2267151.929    5009724.384    3221080.229         82.331
2394     208352.000   -2267150.633    5009725.623    3221081.461         69.051
2394     208353.000   -2267147.776    5009727.411    3221081.245         68.170
2394     208354.000   -2267145.123    5009726.486    3221078.540         82.314
2394     208355.000   -2267143.196    5009726.535    3221076.054         67.760
2394     208356.000   -2267141.662    5009726.851    3221076.487        145.311
2394     208357.000   -2267139.621    5009726.744    3221076.899         74.889
2394     208358.000   -2267137.892    5009728.249    3221077.718         64.725
2394     208359.000   -2267137.146    5009729.546    3221081.377         73.921
2394     208360.000   -2267135.530    5009730.777    3221083.113         67.748
2394     208361.000   -2267134.386    5009730.910    3221086.530        129.686
2394     208362.000   -2267134.341    5009732.699    3221087.516         78.668
2394     208363.000   -2267132.618    5009732.986    3221088.265         63.961
2394     208364.000   -2267131.987    5009733.715    3221088.535         39.035
2394     208365.000   -2267129.668    5009732.056    3221088.197         23.792
2394     208366.000   -2267127.339    5009730.731    3221086.537         78.219
2394     208367.000   -2267125.897    5009730.189    3221087.612         18.395
2394     208368.000   -2267124.189    5009726.187    3221086.392        -10.484
2394     208369.000   -2267125.394    5009725.289    3221087.474         14.126
2394     208370.000   -2267123.462    5009720.946    3221088.987         51.264
2394     208371.000   -2267124.184    5009719.693    3221089.986         42.651
2394     208372.000   -2267125.711    5009718.148    3221091.131        127.698
2394     208373.000   -2267125.382    5009712.868    3221089.710         61.685
2394     208374.000   -2267126.574    5009710.777    3221091.081         63.318
2394     208375.000   -2267127.028    5009707.872    3221091.775         66.789
2394     208376.000   -2267128.365    5009707.632    3221091.256         66.208
2394     208377.000   -2267128.246    5009706.646    3221090.955        131.599
2394     208378.000   -2267126.713    5009703.400    3221088.823         62.069
2394     208379.000   -2267126.067    5009704.191    3221087.533         46.717
2394     208380.000   -2267125.696    5009703.591    3221086.247         56.703
2394     208381.000   -2267124.588    5009701.036    3221087.635         58.539
2394     208382.000   -2267122.092    5009698.532    3221085.700        114.645
2394     208383.000   -2267120.883    5009698.420    3221084.689         35.855
2394     208384.000   -2267120.216    5009699.509    3221083.765         36.957
2394     208385.000   -2267119.449    5009701.757    3221082.044         16.768
2394     208386.000   -2267119.762    5009702.984    3221082.210         36.508
2394     208387.000   -2267118.530    5009704.661    3221082.459        100.206
2394     208388.000   -2267117.338    5009706.512    3221082.859         54.387
2394     208389.000   -2267116.705    5009705.580    3221082.214         47.451
2394     208390.000   -2267114.344    5009704.187    3221082.150         47.515
2394     208391.000   -2267102.193    5009701.991    3221065.084         40.328
2394     208392.000   -2267097.572    5009701.389    3221061.541        112.485
2394     208393.000   -2267095.601    5009701.866    3221063.169         33.665
2394     208394.000   -2267093.991    5009700.958    3221063.958         26.366
