Epoch GPSWeek GPSSeconds E N U
321 2170 182400.000 -3.996946e+64 -5.261372e+64 6.333948e+64
322 2170 182430.000 -3.996946e+64 -5.261372e+64 6.333948e+64
323 2170 182460.000 -3.996946e+64 -5.261372e+64 6.333948e+64
324 2170 182490.000 -3.996946e+64 -5.261372e+64 6.333948e+64
325 2170 182520.000 -3.996946e+64 -5.261372e+64 6.333948e+64
326 2170 182550.000 -3.996946e+64 -5.261372e+64 6.333948e+64
327 2170 182580.000 -3.996946e+64 -5.261372e+64 6.333948e+64
328 2170 182610.000 -3.996946e+64 -5.261372e+64 6.333948e+64
329 2170 182640.000 -3.996946e+64 -5.261372e+64 6.333948e+64
330 2170 182670.000 -3.996946e+64 -5.261372e+64 6.333948e+64
331 2170 182700.000 -3.996946e+64 -5.261372e+64 6.333948e+64
332 2170 182730.000 -3.996946e+64 -5.261372e+64 6.333948e+64
333 2170 182760.000 -3.996946e+64 -5.261372e+64 6.333948e+64
334 2170 182790.000 -3.996946e+64 -5.261372e+64 6.333948e+64
335 2170 182820.000 -3.996946e+64 -5.261372e+64 6.333948e+64
336 2170 182850.000 -3.996946e+64 -5.261372e+64 6.333948e+64
337 2170 182880.000 -3.996946e+64 -5.261372e+64 6.333948e+64
338 2170 182910.000 -3.996946e+64 -5.261372e+64 6.333948e+64
339 2170 182940.000 -3.996946e+64 -5.261372e+64 6.333948e+64
340 2170 182970.000 -3.996946e+64 -5.261372e+64 6.333948e+64
341 2170 183000.000 -3.996946e+64 -5.261372e+64 6.333948e+64
342 2170 183030.000 -3.996946e+64 -5.261372e+64 6.333948e+64
343 2170 183060.000 -3.996946e+64 -5.261372e+64 6.333948e+64
344 2170 183090.000 -3.996946e+64 -5.261372e+64 6.333948e+64
345 2170 183120.000 -3.996946e+64 -5.261372e+64 6.333948e+64
346 2170 183150.000 -3.996946e+64 -5.261372e+64 6.333948e+64
347 2170 183180.000 -3.996946e+64 -5.261372e+64 6.333948e+64
348 2170 183210.000 -3.996946e+64 -5.261372e+64 6.333948e+64
349 2170 183240.000 -3.996946e+64 -5.261372e+64 6.333948e+64
350 2170 183270.000 -3.996946e+64 -5.261372e+64 6.333948e+64
351 2170 183300.000 -3.996946e+64 -5.261372e+64 6.333948e+64
352 2170 183330.000 -3.996946e+64 -5.261372e+64 6.333948e+64
353 2170 183360.000 -3.996946e+64 -5.261372e+64 6.333948e+64
354 2170 183390.000 -3.996946e+64 -5.261372e+64 6.333948e+64
355 2170 183420.000 -3.996946e+64 -5.261372e+64 6.333948e+64
356 2170 183450.000 -3.996946e+64 -5.261372e+64 6.333948e+64
357 2170 183480.000 -3.996946e+64 -5.261372e+64 6.333948e+64
358 2170 183510.000 -3.996946e+64 -5.261372e+64 6.333948e+64
359 2170 183540.000 -3.996946e+64 -5.261372e+64 6.333948e+64
360 2170 183570.000 -3.996946e+64 -5.261372e+64 6.333948e+64
361 2170 183600.000 -3.996946e+64 -5.261372e+64 6.333948e+64
362 2170 183630.000 -3.996946e+64 -5.261372e+64 6.333948e+64
363 2170 183660.000 -3.996946e+64 -5.261372e+64 6.333948e+64
364 2170 183690.000 -3.996946e+64 -5.261372e+64 6.333948e+64
365 2170 183720.000 -3.996946e+64 -5.261372e+64 6.333948e+64
366 2170 183750.000 -3.996946e+64 -5.261372e+64 6.333948e+64
367 2170 183780.000 -3.996946e+64 -5.261372e+64 6.333948e+64
368 2170 183810.000 -3.996946e+64 -5.261372e+64 6.333948e+64
369 2170 183840.000 -3.996946e+64 -5.261372e+64 6.333948e+64
370 2170 183870.000 -3.996946e+64 -5.261372e+64 6.333948e+64
371 2170 183900.000 -3.996946e+64 -5.261372e+64 6.333948e+64
372 2170 183930.000 -3.996946e+64 -5.261372e+64 6.333948e+64
373 2170 183960.000 -3.996946e+64 -5.261372e+64 6.333948e+64
374 2170 183990.000 -3.996946e+64 -5.261372e+64 6.333948e+64
375 2170 184020.000 -3.996946e+64 -5.261372e+64 6.333948e+64
376 2170 184050.000 -3.996946e+64 -5.261372e+64 6.333948e+64
377 2170 184080.000 -3.996946e+64 -5.261372e+64 6.333948e+64
378 2170 184110.000 -3.996946e+64 -5.261372e+64 6.333948e+64
379 2170 184140.000 -3.996946e+64 -5.261372e+64 6.333948e+64
380 2170 184170.000 -3.996946e+64 -5.261372e+64 6.333948e+64
381 2170 184200.000 -3.996946e+64 -5.261372e+64 6.333948e+64
382 2170 184230.000 -3.996946e+64 -5.261372e+64 6.333948e+64
383 2170 184260.000 -3.996946e+64 -5.261372e+64 6.333948e+64
384 2170 184290.000 -3.996946e+64 -5.261372e+64 6.333948e+64
385 2170 184320.000 -3.996946e+64 -5.261372e+64 6.333948e+64
